model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation,resolved_status,oa_title,oa_first_author,oa_institution,oa_country,oa_year,oa_id
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,11,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (Online),"Independent consultant (Kent Beck at Snowbird, Utah meeting)",no_affiliation,Manifesto for agile software development,K. Beck,,,2001,https://openalex.org/W1529465401
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,12,Software Engineering Economics,"[""Barry W. Boehm""]",1981,Prentice-Hall (Book),TRW Defense Systems Group,resolved,Software engineering economics,Hakan Erdogmus,National Research Council Canada,CA,2002,https://openalex.org/W2551072204
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,13,Mythical Man-Month: Essays on Software Engineering,"[""Frederick P. Brooks Jr.""]",1975,Addison-Wesley (Book),University of North Carolina at Chapel Hill,no_affiliation,The mythical man-month: essays on software engineering,,,,1996,https://openalex.org/W2983995785
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,14,Refactoring: Improving the Design of Existing Code,"[""Martin Fowler"", ""Kent Beck"", ""John Brant"", ""William Opdyke"", ""Don Roberts""]",1999,Addison-Wesley (Book),Independent consultant (ThoughtWorks),resolved,Refactoring improving the design of existing code,Mauricio A. Saca,Universidad Don Bosco,SV,2017,https://openalex.org/W2787379525
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,15,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates / U.S. Navy (contractor),resolved,A Complexity Measure,Thomas J. McCabe,National Security Agency,US,1976,https://openalex.org/W1964962870
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Frederick P. Brooks Jr.""]",1987,IEEE Computer,University of North Carolina at Chapel Hill,resolved,No Silver Bullet Essence and Accidents of Software Engineering,Brooks,North Carolina State University,US,1987,https://openalex.org/W2154774499
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,2,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose",resolved,A relational model of data for large shared data banks,E. F. Codd,IBM (United States),US,1970,https://openalex.org/W2185907055
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,3,Go To Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology,resolved,Go to Statement Considered Harmful,Edsger W. Dijkstra,Eindhoven University of Technology,NL,2002,https://openalex.org/W2154403892
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,4,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University,resolved,On the criteria to be used in decomposing systems into modules,David Lorge Parnas,Carnegie Mellon University,US,1972,https://openalex.org/W2134119432
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,5,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (doctoral work; IBM Zurich Research Lab at time of publication),no_affiliation,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,,,1994,https://openalex.org/W1649645444
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,6,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems,no_affiliation,Managing the Development of Large Software Systems (1970),W. W. Royce,,,2021,https://openalex.org/W2095152777
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,7,Structured Design,"[""W. Stevens"", ""G. Myers"", ""L. Constantine""]",1974,IBM Systems Journal,IBM,no_affiliation,Structured design,W. P. Stevens,,,1974,https://openalex.org/W2913217271
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,8,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates,resolved,A Complexity Measure,Thomas J. McCabe,National Security Agency,US,1976,https://openalex.org/W1964962870
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,9,Software Aging,"[""David Lorge Parnas""]",1994,Proceedings of the 16th International Conference on Software Engineering (ICSE),McMaster University,resolved,Software aging,David Lorge Parnas,McMaster University,CA,1994,https://openalex.org/W2294305189
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,10,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (Online manifesto),Independent consultant (Three Rivers Institute),no_affiliation,Manifesto for agile software development,K. Beck,,,2001,https://openalex.org/W1529465401
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,11,An Empirical Study of the Reliability of UNIX Utilities,"[""Barton P. Miller"", ""Lars Fredriksen"", ""Bryan So""]",1990,Communications of the ACM,University of Wisconsin–Madison,resolved,An empirical study of the reliability of UNIX utilities,Barton P. Miller,University of Wisconsin–Madison,US,1990,https://openalex.org/W2002934700
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,12,Refactoring: Improving the Design of Existing Code,"[""Martin Fowler"", ""Kent Beck"", ""John Brant"", ""William Opdyke"", ""Don Roberts""]",1999,Addison-Wesley (Book),Independent consultant (ThoughtWorks),resolved,Refactoring improving the design of existing code,Mauricio A. Saca,Universidad Don Bosco,SV,2017,https://openalex.org/W2787379525
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,13,Extreme Programming Explained: Embrace Change,"[""Kent Beck""]",1999,Addison-Wesley (Book),Independent consultant (Three Rivers Institute),no_affiliation,Extreme Programming Explained: Embrace Change,Kent Beck,,,2000,https://openalex.org/W1493688518
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,14,A Survey of Software Testing,"[""Elaine J. Weyuker"", ""Phyllis G. Frankl""]",1988,IEEE Computer,New York University,low_confidence,Search‐based software test data generation: a survey,Phil McMinn,University of Sheffield,GB,2004,https://openalex.org/W2114869486
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,15,The UNIX Time-Sharing System,"[""Dennis M. Ritchie"", ""Ken Thompson""]",1974,Communications of the ACM,Bell Telephone Laboratories,resolved,The UNIX time-sharing system,Dennis M. Ritchie,Nokia (United States),US,1983,https://openalex.org/W2105986919
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Fred Brooks""]",1987,IEEE Computer,University of North Carolina at Chapel Hill,resolved,No Silver Bullet Essence and Accidents of Software Engineering,Brooks,North Carolina State University,US,1987,https://openalex.org/W2154774499
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,2,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose",resolved,A relational model of data for large shared data banks,E. F. Codd,IBM (United States),US,1970,https://openalex.org/W2185907055
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,3,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (doctoral work; working at Taligent/IBM at publication),no_affiliation,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,,,1994,https://openalex.org/W1649645444
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,4,Goto Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology,resolved,Go To Statement Considered Harmful,Edsger W. Dijkstra,Eindhoven University of Technology,NL,2001,https://openalex.org/W2983418616
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,5,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University,resolved,On the criteria to be used in decomposing systems into modules,David Lorge Parnas,Carnegie Mellon University,US,1972,https://openalex.org/W2134119432
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,6,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems,no_affiliation,Managing the Development of Large Software Systems (1970),W. W. Royce,,,2021,https://openalex.org/W2095152777
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,7,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (online publication),Independent consultant (ThreeRivers Institute),no_affiliation,Manifesto for agile software development,K. Beck,,,2001,https://openalex.org/W1529465401
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,8,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates,resolved,A Complexity Measure,Thomas J. McCabe,National Security Agency,US,1976,https://openalex.org/W1964962870
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,9,Software Aging,"[""David L. Parnas""]",1994,Proceedings of the 16th International Conference on Software Engineering (ICSE),McMaster University,resolved,Software aging,David Lorge Parnas,McMaster University,CA,1994,https://openalex.org/W2294305189
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,10,An Empirical Study of the Reliability of UNIX Utilities,"[""Barton P. Miller"", ""Louis Fredriksen"", ""Bryan So""]",1990,Communications of the ACM,University of Wisconsin–Madison,resolved,An empirical study of the reliability of UNIX utilities,Barton P. Miller,University of Wisconsin–Madison,US,1990,https://openalex.org/W2002934700
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,11,"Recursive Functions of Symbolic Expressions and Their Computation by Machine, Part I","[""John McCarthy""]",1960,Communications of the ACM,Massachusetts Institute of Technology,resolved,"Recursive functions of symbolic expressions and their computation by machine, Part I",John McCarthy,Massachusetts Institute of Technology,US,1960,https://openalex.org/W2045255985
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,12,Specification and Verification of Concurrent Programs by Assertions,"[""Susan L. Owicki"", ""David Gries""]",1976,Communications of the ACM,Stanford University,low_confidence,Automatic verification of finite-state concurrent systems using temporal logic specifications,E. M. Clarke,Carnegie Mellon University,US,1986,https://openalex.org/W2117189826
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,13,An Axiomatic Basis for Computer Programming,"[""C. A. R. Hoare""]",1969,Communications of the ACM,The Queen's University of Belfast,resolved,An axiomatic basis for computer programming,C. A. R. Hoare,Queen's University Belfast,GB,1969,https://openalex.org/W2987907651
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,14,Communicating Sequential Processes,"[""C. A. R. Hoare""]",1978,Communications of the ACM,University of Oxford,resolved,Communicating sequential processes,C. A. R. Hoare,Queen's University Belfast,GB,1983,https://openalex.org/W2110425399
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,15,Mining Software Repositories to Study Software Evolution,"[""Harald Gall"", ""Beat Fluri"", ""Martin Pinzger""]",2009,IEEE Software,University of Zurich,low_confidence,Mining Software Repositories to Study Co-Evolution of Production &amp; Test Code,Andy Zaidman,Delft University of Technology,NL,2008,https://openalex.org/W2115919801
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,1,ImageNet Large Scale Visual Recognition Challenge,"[""Olga Russakovsky"", ""Jia Deng"", ""Hao Su"", ""Jonathan Krause"", ""Sanjeev Satheesh"", ""Sean Ma"", ""Zhiheng Huang"", ""Andrej Karpathy"", ""Aditya Khosla"", ""Michael Bernstein"", ""Alexander C. Berg"", ""Li Fei-Fei""]",2015,International Journal of Computer Vision (IJCV),Stanford University,resolved,ImageNet Large Scale Visual Recognition Challenge,Olga Russakovsky,Stanford University,US,2015,https://openalex.org/W2117539524
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,2,ImageNet Classification with Deep Convolutional Neural Networks,"[""Alex Krizhevsky"", ""Ilya Sutskever"", ""Geoffrey E. Hinton""]",2012,NeurIPS (NIPS),University of Toronto,resolved,ImageNet classification with deep convolutional neural networks,Alex Krizhevsky,Google (United States),US,2017,https://openalex.org/W2163605009
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,3,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research Asia,resolved,Deep Residual Learning for Image Recognition,Kaiming He,Microsoft Research (United Kingdom),GB,2016,https://openalex.org/W2194775991
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,4,Very Deep Convolutional Networks for Large-Scale Image Recognition,"[""Karen Simonyan"", ""Andrew Zisserman""]",2015,International Conference on Learning Representations (ICLR),University of Oxford,resolved,Very Deep Convolutional Networks for Large-Scale Image Recognition,Karen Simonyan,University of Oxford,GB,2014,https://openalex.org/W1686810756
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,5,Generative Adversarial Nets,"[""Ian Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",2014,NeurIPS (NIPS),Université de Montréal,resolved,GAN（Generative Adversarial Nets）,柴田 淳司,Université de Montréal,CA,2017,https://openalex.org/W2099471712
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,6,Fully Convolutional Networks for Semantic Segmentation,"[""Jonathan Long"", ""Evan Shelhamer"", ""Trevor Darrell""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley",resolved,Fully convolutional networks for semantic segmentation,Jonathan Long,Berkeley College,US,2015,https://openalex.org/W1903029394
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,7,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",2015,NeurIPS (NIPS),Microsoft Research Asia,resolved,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,Shaoqing Ren,University of Science and Technology of China,CN,2016,https://openalex.org/W639708223
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,8,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",2014,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley",resolved,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,Ross Girshick,Berkeley College,US,2014,https://openalex.org/W2102605133
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,9,U-Net: Convolutional Networks for Biomedical Image Segmentation,"[""Olaf Ronneberger"", ""Philipp Fischer"", ""Thomas Brox""]",2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),University of Freiburg,resolved,U-Net: Convolutional Networks for Biomedical Image Segmentation,Olaf Ronneberger,University of Freiburg,DE,2015,https://openalex.org/W1901129140
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,10,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",2015,International Conference on Machine Learning (ICML),Google,resolved,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,Sergey Ioffe,Google (United States),US,2015,https://openalex.org/W1836465849
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,11,Going Deeper with Convolutions,"[""Christian Szegedy"", ""Wei Liu"", ""Yangqing Jia"", ""Pierre Sermanet"", ""Scott Reed"", ""Dragomir Anguelov"", ""Dumitru Erhan"", ""Vincent Vanhoucke"", ""Andrew Rabinovich""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Google,resolved,Going deeper with convolutions,Christian Szegedy,Google (United States),US,2015,https://openalex.org/W2097117768
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,12,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"[""Alexey Dosovitskiy"", ""Lucas Beyer"", ""Alexander Kolesnikov"", ""Dirk Weissenborn"", ""Xiaohua Zhai"", ""Thomas Unterthiner"", ""Mostafa Dehghani"", ""Matthias Minderer"", ""Georg Heigold"", ""Sylvain Gelly"", ""Jakob Uszkoreit"", ""Neil Houlsby""]",2021,International Conference on Learning Representations (ICLR),Google Brain,resolved,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy,Google (United States),US,2020,https://openalex.org/W3094502228
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,13,Attention Is All You Need,"[""Ashish Vaswani"", ""Noam Shazeer"", ""Niki Parmar"", ""Jakob Uszkoreit"", ""Llion Jones"", ""Aidan N. Gomez"", ""Łukasz Kaiser"", ""Illia Polosukhin""]",2017,NeurIPS,Google Brain,resolved,Attention Is All You Need,Ashish Vaswani,Google (United States),US,2025,https://openalex.org/W2626778328
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,14,Mask R-CNN,"[""Kaiming He"", ""Georgia Gkioxari"", ""Piotr Dollár"", ""Ross Girshick""]",2017,IEEE International Conference on Computer Vision (ICCV),Facebook AI Research (FAIR),resolved,Mask R-CNN,Kaiming He,Meta (Israel),IL,2017,https://openalex.org/W2963150697
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,15,A Scale Invariant Feature Transform (SIFT),"[""David G. Lowe""]",2004,International Journal of Computer Vision (IJCV),University of British Columbia,resolved,Scale-Invariant Feature Transform (SIFT),Wilhelm Burger,University of Applied Sciences Upper Austria,AT,2022,https://openalex.org/W4286728644
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,1,ImageNet Large Scale Visual Recognition Challenge,"[""Olga Russakovsky"", ""Jia Deng"", ""Hao Su"", ""Jonathan Krause"", ""Sanjeev Satheesh"", ""Sean Ma"", ""Zhiheng Huang"", ""Andrej Karpathy"", ""Aditya Khosla"", ""Michael Bernstein"", ""Alexander C. Berg"", ""Li Fei-Fei""]",2015,International Journal of Computer Vision (IJCV),Stanford University,resolved,ImageNet Large Scale Visual Recognition Challenge,Olga Russakovsky,Stanford University,US,2015,https://openalex.org/W2117539524
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,2,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research Asia,resolved,Deep Residual Learning for Image Recognition,Kaiming He,Microsoft Research (United Kingdom),GB,2016,https://openalex.org/W2194775991
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,3,ImageNet Classification with Deep Convolutional Neural Networks,"[""Alex Krizhevsky"", ""Ilya Sutskever"", ""Geoffrey E. Hinton""]",2012,Advances in Neural Information Processing Systems (NeurIPS),University of Toronto,resolved,ImageNet classification with deep convolutional neural networks,Alex Krizhevsky,Google (United States),US,2017,https://openalex.org/W2163605009
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,4,Generative Adversarial Nets,"[""Ian Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",2014,Advances in Neural Information Processing Systems (NeurIPS),Université de Montréal,resolved,GAN（Generative Adversarial Nets）,柴田 淳司,Université de Montréal,CA,2017,https://openalex.org/W2099471712
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,5,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",2015,Advances in Neural Information Processing Systems (NeurIPS),Microsoft Research Asia,resolved,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,Shaoqing Ren,University of Science and Technology of China,CN,2016,https://openalex.org/W639708223
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,6,Very Deep Convolutional Networks for Large-Scale Image Recognition,"[""Karen Simonyan"", ""Andrew Zisserman""]",2015,International Conference on Learning Representations (ICLR),University of Oxford (Visual Geometry Group),resolved,Very Deep Convolutional Networks for Large-Scale Image Recognition,Karen Simonyan,University of Oxford,GB,2014,https://openalex.org/W1686810756
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,7,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"[""Alexey Dosovitskiy"", ""Lucas Beyer"", ""Alexander Kolesnikov"", ""Dirk Weissenborn"", ""Xiaohua Zhai"", ""Thomas Unterthiner"", ""Mostafa Dehghani"", ""Matthias Minderer"", ""Georg Heigold"", ""Sylvain Gelly"", ""Jakob Uszkoreit"", ""Neil Houlsby""]",2021,International Conference on Learning Representations (ICLR),Google Brain,resolved,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy,Google (United States),US,2020,https://openalex.org/W3094502228
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,8,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",2014,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley",resolved,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,Ross Girshick,Berkeley College,US,2014,https://openalex.org/W2102605133
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,9,Fully Convolutional Networks for Semantic Segmentation,"[""Jonathan Long"", ""Evan Shelhamer"", ""Trevor Darrell""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley",resolved,Fully convolutional networks for semantic segmentation,Jonathan Long,Berkeley College,US,2015,https://openalex.org/W1903029394
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,10,U-Net: Convolutional Networks for Biomedical Image Segmentation,"[""Olaf Ronneberger"", ""Philipp Fischer"", ""Thomas Brox""]",2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),University of Freiburg,resolved,U-Net: Convolutional Networks for Biomedical Image Segmentation,Olaf Ronneberger,University of Freiburg,DE,2015,https://openalex.org/W1901129140
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,11,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",2015,International Conference on Machine Learning (ICML),Google Inc.,resolved,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,Sergey Ioffe,Google (United States),US,2015,https://openalex.org/W1836465849
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,12,Feature Pyramid Networks for Object Detection,"[""Tsung-Yi Lin"", ""Piotr Dollár"", ""Ross Girshick"", ""Kaiming He"", ""Bharath Hariharan"", ""Serge Belongie""]",2017,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Cornell University / Facebook AI Research,resolved,Feature Pyramid Networks for Object Detection,Tsung-Yi Lin,Cornell University,US,2017,https://openalex.org/W2565639579
