model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,8,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,9,Software Aging,"[""David L. Parnas""]",1994,Proceedings of the 16th International Conference on Software Engineering (ICSE),McMaster University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,10,An Empirical Study of the Reliability of UNIX Utilities,"[""Barton P. Miller"", ""Louis Fredriksen"", ""Bryan So""]",1990,Communications of the ACM,University of Wisconsin–Madison
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,11,"Recursive Functions of Symbolic Expressions and Their Computation by Machine, Part I","[""John McCarthy""]",1960,Communications of the ACM,Massachusetts Institute of Technology
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,12,Specification and Verification of Concurrent Programs by Assertions,"[""Susan L. Owicki"", ""David Gries""]",1976,Communications of the ACM,Stanford University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,13,An Axiomatic Basis for Computer Programming,"[""C. A. R. Hoare""]",1969,Communications of the ACM,The Queen's University of Belfast
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,14,Communicating Sequential Processes,"[""C. A. R. Hoare""]",1978,Communications of the ACM,University of Oxford
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,15,Mining Software Repositories to Study Software Evolution,"[""Harald Gall"", ""Beat Fluri"", ""Martin Pinzger""]",2009,IEEE Software,University of Zurich
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,1,ImageNet Large Scale Visual Recognition Challenge,"[""Olga Russakovsky"", ""Jia Deng"", ""Hao Su"", ""Jonathan Krause"", ""Sanjeev Satheesh"", ""Sean Ma"", ""Zhiheng Huang"", ""Andrej Karpathy"", ""Aditya Khosla"", ""Michael Bernstein"", ""Alexander C. Berg"", ""Li Fei-Fei""]",2015,International Journal of Computer Vision (IJCV),Stanford University
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,2,ImageNet Classification with Deep Convolutional Neural Networks,"[""Alex Krizhevsky"", ""Ilya Sutskever"", ""Geoffrey E. Hinton""]",2012,NeurIPS (NIPS),University of Toronto
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,3,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,4,Very Deep Convolutional Networks for Large-Scale Image Recognition,"[""Karen Simonyan"", ""Andrew Zisserman""]",2015,International Conference on Learning Representations (ICLR),University of Oxford
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,5,Generative Adversarial Nets,"[""Ian Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",2014,NeurIPS (NIPS),Université de Montréal
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,6,Fully Convolutional Networks for Semantic Segmentation,"[""Jonathan Long"", ""Evan Shelhamer"", ""Trevor Darrell""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,7,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",2015,NeurIPS (NIPS),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,8,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",2014,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,9,U-Net: Convolutional Networks for Biomedical Image Segmentation,"[""Olaf Ronneberger"", ""Philipp Fischer"", ""Thomas Brox""]",2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),University of Freiburg
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,10,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",2015,International Conference on Machine Learning (ICML),Google
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,11,Going Deeper with Convolutions,"[""Christian Szegedy"", ""Wei Liu"", ""Yangqing Jia"", ""Pierre Sermanet"", ""Scott Reed"", ""Dragomir Anguelov"", ""Dumitru Erhan"", ""Vincent Vanhoucke"", ""Andrew Rabinovich""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Google
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,12,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"[""Alexey Dosovitskiy"", ""Lucas Beyer"", ""Alexander Kolesnikov"", ""Dirk Weissenborn"", ""Xiaohua Zhai"", ""Thomas Unterthiner"", ""Mostafa Dehghani"", ""Matthias Minderer"", ""Georg Heigold"", ""Sylvain Gelly"", ""Jakob Uszkoreit"", ""Neil Houlsby""]",2021,International Conference on Learning Representations (ICLR),Google Brain
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,13,Attention Is All You Need,"[""Ashish Vaswani"", ""Noam Shazeer"", ""Niki Parmar"", ""Jakob Uszkoreit"", ""Llion Jones"", ""Aidan N. Gomez"", ""Łukasz Kaiser"", ""Illia Polosukhin""]",2017,NeurIPS,Google Brain
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,14,Mask R-CNN,"[""Kaiming He"", ""Georgia Gkioxari"", ""Piotr Dollár"", ""Ross Girshick""]",2017,IEEE International Conference on Computer Vision (ICCV),Facebook AI Research (FAIR)
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s1,15,A Scale Invariant Feature Transform (SIFT),"[""David G. Lowe""]",2004,International Journal of Computer Vision (IJCV),University of British Columbia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,1,ImageNet Large Scale Visual Recognition Challenge,"[""Olga Russakovsky"", ""Jia Deng"", ""Hao Su"", ""Jonathan Krause"", ""Sanjeev Satheesh"", ""Sean Ma"", ""Zhiheng Huang"", ""Andrej Karpathy"", ""Aditya Khosla"", ""Michael Bernstein"", ""Alexander C. Berg"", ""Li Fei-Fei""]",2015,International Journal of Computer Vision (IJCV),Stanford University
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,2,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,3,ImageNet Classification with Deep Convolutional Neural Networks,"[""Alex Krizhevsky"", ""Ilya Sutskever"", ""Geoffrey E. Hinton""]",2012,Advances in Neural Information Processing Systems (NeurIPS),University of Toronto
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,4,Generative Adversarial Nets,"[""Ian Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",2014,Advances in Neural Information Processing Systems (NeurIPS),Université de Montréal
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,5,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",2015,Advances in Neural Information Processing Systems (NeurIPS),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,6,Very Deep Convolutional Networks for Large-Scale Image Recognition,"[""Karen Simonyan"", ""Andrew Zisserman""]",2015,International Conference on Learning Representations (ICLR),University of Oxford (Visual Geometry Group)
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,7,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"[""Alexey Dosovitskiy"", ""Lucas Beyer"", ""Alexander Kolesnikov"", ""Dirk Weissenborn"", ""Xiaohua Zhai"", ""Thomas Unterthiner"", ""Mostafa Dehghani"", ""Matthias Minderer"", ""Georg Heigold"", ""Sylvain Gelly"", ""Jakob Uszkoreit"", ""Neil Houlsby""]",2021,International Conference on Learning Representations (ICLR),Google Brain
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,8,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",2014,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,9,Fully Convolutional Networks for Semantic Segmentation,"[""Jonathan Long"", ""Evan Shelhamer"", ""Trevor Darrell""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,10,U-Net: Convolutional Networks for Biomedical Image Segmentation,"[""Olaf Ronneberger"", ""Philipp Fischer"", ""Thomas Brox""]",2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),University of Freiburg
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,11,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",2015,International Conference on Machine Learning (ICML),Google Inc.
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,12,Feature Pyramid Networks for Object Detection,"[""Tsung-Yi Lin"", ""Piotr Dollár"", ""Ross Girshick"", ""Kaiming He"", ""Bharath Hariharan"", ""Serge Belongie""]",2017,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Cornell University / Facebook AI Research
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,13,Going Deeper with Convolutions (GoogLeNet / Inception),"[""Christian Szegedy"", ""Wei Liu"", ""Yangqing Jia"", ""Pierre Sermanet"", ""Scott Reed"", ""Dragomir Anguelov"", ""Dumitru Erhan"", ""Vincent Vanhoucke"", ""Andrew Rabinovich""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Google Inc.
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,14,Attention Is All You Need,"[""Ashish Vaswani"", ""Noam Shazeer"", ""Niki Parmar"", ""Jakob Uszkoreit"", ""Llion Jones"", ""Aidan N. Gomez"", ""Łukasz Kaiser"", ""Illia Polosukhin""]",2017,Advances in Neural Information Processing Systems (NeurIPS),Google Brain
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s2,15,Masked Autoencoders Are Scalable Vision Learners,"[""Kaiming He"", ""Xinlei Chen"", ""Saining Xie"", ""Yanghao Li"", ""Piotr Dollár"", ""Ross Girshick""]",2022,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Meta AI Research (FAIR)
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,1,ImageNet Large Scale Visual Recognition Challenge,"[""Olga Russakovsky"", ""Jia Deng"", ""Hao Su"", ""Jonathan Krause"", ""Sanjeev Satheesh"", ""Sean Ma"", ""Zhiheng Huang"", ""Andrej Karpathy"", ""Aditya Khosla"", ""Michael Bernstein"", ""Alexander C. Berg"", ""Li Fei-Fei""]",2015,International Journal of Computer Vision (IJCV),Stanford University
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,2,Deep Residual Learning for Image Recognition,"[""Kaiming He"", ""Xiangyu Zhang"", ""Shaoqing Ren"", ""Jian Sun""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,3,ImageNet Classification with Deep Convolutional Neural Networks,"[""Alex Krizhevsky"", ""Ilya Sutskever"", ""Geoffrey E. Hinton""]",2012,Advances in Neural Information Processing Systems (NeurIPS),University of Toronto
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,4,Generative Adversarial Nets,"[""Ian Goodfellow"", ""Jean Pouget-Abadie"", ""Mehdi Mirza"", ""Bing Xu"", ""David Warde-Farley"", ""Sherjil Ozair"", ""Aaron Courville"", ""Yoshua Bengio""]",2014,Advances in Neural Information Processing Systems (NeurIPS),Université de Montréal
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,5,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",2015,Advances in Neural Information Processing Systems (NeurIPS),Microsoft Research Asia
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,6,"You Only Look Once: Unified, Real-Time Object Detection","[""Joseph Redmon"", ""Santosh Divvala"", ""Ross Girshick"", ""Ali Farhadi""]",2016,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),University of Washington
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,7,U-Net: Convolutional Networks for Biomedical Image Segmentation,"[""Olaf Ronneberger"", ""Philipp Fischer"", ""Thomas Brox""]",2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),University of Freiburg
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,8,Very Deep Convolutional Networks for Large-Scale Image Recognition,"[""Karen Simonyan"", ""Andrew Zisserman""]",2015,International Conference on Learning Representations (ICLR),University of Oxford
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,9,Fully Convolutional Networks for Semantic Segmentation,"[""Jonathan Long"", ""Evan Shelhamer"", ""Trevor Darrell""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,10,Attention Is All You Need,"[""Ashish Vaswani"", ""Noam Shazeer"", ""Niki Parmar"", ""Jakob Uszkoreit"", ""Llion Jones"", ""Aidan N. Gomez"", ""Łukasz Kaiser"", ""Illia Polosukhin""]",2017,Advances in Neural Information Processing Systems (NeurIPS),Google Brain
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,11,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"[""Alexey Dosovitskiy"", ""Lucas Beyer"", ""Alexander Kolesnikov"", ""Dirk Weissenborn"", ""Xiaohua Zhai"", ""Thomas Unterthiner"", ""Mostafa Dehghani"", ""Matthias Minderer"", ""Georg Heigold"", ""Sylvain Gelly"", ""Jakob Uszkoreit"", ""Neil Houlsby""]",2021,International Conference on Learning Representations (ICLR),"Google Research, Brain Team"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,12,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",2014,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"University of California, Berkeley"
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,13,Going Deeper with Convolutions,"[""Christian Szegedy"", ""Wei Liu"", ""Yangqing Jia"", ""Pierre Sermanet"", ""Scott Reed"", ""Dragomir Anguelov"", ""Dumitru Erhan"", ""Vincent Vanhoucke"", ""Andrew Rabinovich""]",2015,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),Google Inc.
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,14,Mask R-CNN,"[""Kaiming He"", ""Georgia Gkioxari"", ""Piotr Dollár"", ""Ross Girshick""]",2017,IEEE International Conference on Computer Vision (ICCV),Facebook AI Research (FAIR)
claude-sonnet-4-6,anthropic,VIS_PAPERS,imp01-s3,15,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,"[""Sergey Ioffe"", ""Christian Szegedy""]",2015,International Conference on Machine Learning (ICML),Google Inc.
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,1,On the criteria to be used in decomposing systems into modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie-Mellon University
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,2,Symbolic execution and program testing,"[""James C. King""]",1976,Communications of the ACM,IBM Thomas J. Watson Research Center
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,3,Program Slicing,"[""Mark Weiser""]",1981,Proceedings of the 5th International Conference on Software Engineering (ICSE),University of Maryland
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,4,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Frederick P. Brooks Jr.""]",1987,Computer (IEEE),University of North Carolina at Chapel Hill
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,5,Statecharts: a visual formalism for complex systems,"[""David Harel""]",1987,Science of Computer Programming,Weizmann Institute of Science
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,6,A spiral model of software development and enhancement,"[""Barry W. Boehm""]",1988,Computer (IEEE),TRW Defense Systems Group
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,7,Foundations for the study of software architecture,"[""Dewayne E. Perry"", ""Alexander L. Wolf""]",1992,ACM SIGSOFT Software Engineering Notes,AT&T Bell Laboratories
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,8,A metrics suite for object oriented design,"[""Shyam R. Chidamber"", ""Chris F. Kemerer""]",1994,IEEE Transactions on Software Engineering (TSE),"University of California, Los Angeles (UCLA)"
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,9,The model checker SPIN,"[""Gerard J. Holzmann""]",1997,IEEE Transactions on Software Engineering (TSE),Bell Laboratories
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,10,CCFinder: a multilinguistic token-based code clone detection system for large scale source code,"[""Toshihiro Kamiya"", ""Shinji Kusumoto"", ""Katsuro Inoue""]",2002,IEEE Transactions on Software Engineering (TSE),Osaka University
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,11,DART: directed automated random testing,"[""Patrice Godefroid"", ""Nils Klarlund"", ""Koushik Sen""]",2005,Proceedings of the 2005 ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),Bell Laboratories
gemini-3.1-pro-preview,gemini,SE_PAPERS,imp01-s1,12,Feedback-directed random test generation,"[""Carlos Pacheco"", ""Shuvendu K. Lahiri"", ""Michael D. Ernst"", ""Thomas Ball""]",2007,Proceedings of the 29th International Conference on Software Engineering (ICSE),Massachusetts Institute of Technology (MIT)
